"Special Price:","Prix spécial:"
"My Wishlist","Vos liste"
"My Wishlist (%d item)","Liste (%d)"
"My Wishlist (%d items)","Liste (%d)"
"My Account","Votre compte"
"Cart","PANIER"
"View Cart","View Cart"
"View all items in your shopping cart","View all items in your shopping cart"
"View All","Mon panier"
"Compare","Vergleichen"
"Compare Products","Produkte vergleichen"
"Compare all selected items","Alle ausgewählten Produkte vergleichen"
"Currency",""
"Language","Sprache"
"Sign Up","Sign Up"
"Enter your e-mail","Geben Sie Ihre E-Mail Adresse ein"
"Click to see more products from %s","Click to see more products from %s"
"Related Products","Related"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","Nouveau"
"Sale","Offre"
"Categories","Catégories"
"Menu","Menu"
"Email to a Friend","Share"
"Product Tags","Tags"
"Product Description","Détails"
"Additional Information","Informations complémentaires"
"Other Products","d'autres produits"
